run_name,timestamp,fingerprint,scenario,ego_model,ego_target,v_desired,rear_model,assumed_rear_model,rear_kappa,rear_a_decel,gap_r0,mismatch,note,config_path
run_001,2026-06-25T16:10:58,85a110d4e3b9,three_car,ovm,,,ovm,,0.7,2.5,18.0,,,run_001/config.json
run_002,2026-06-25T16:11:23,cb77cc19f850,ego_rear,ovm,speed,1.0,ovm,ovm,1.0,2.0,3.0,False,,run_002/config.json
run_003,2026-06-25T16:17:28,9f88e120141f,ego_rear,ovm,speed,1.0,ovm,ovm,1.0,2.0,3.0,False,,run_003/config.json
run_004,2026-06-25T16:18:09,608b676c11da,ego_rear,ovm,speed,1.0,ovm,ovm,1.0,2.0,3.0,False,,run_004/config.json
