run_name,timestamp,fingerprint,scenario,method,ego_model,ego_target,v_desired,v_max,rear_model,assumed_rear_model,rear_alpha,rear_beta,assumed_rear_alpha,assumed_rear_beta,rear_kappa,rear_a_decel,gap_r0,mismatch,note,config_path
run_001,2026-06-27T09:29:03,ee8db3dee0c6,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.08,0.056,0.32,0.224,0.7,2.5,4.5,True,actual_x0.25,run_001/config.json
run_002,2026-06-27T09:29:31,a6d984e13061,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.16,0.112,0.32,0.224,0.7,2.5,4.5,True,actual_x0.50,run_002/config.json
run_003,2026-06-27T09:29:56,941393e9aafc,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.24,0.168,0.32,0.224,0.7,2.5,4.5,True,actual_x0.75,run_003/config.json
run_004,2026-06-27T09:30:21,01c3a25fbb75,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.32,0.224,0.32,0.224,0.7,2.5,4.5,False,actual_x1.00,run_004/config.json
run_005,2026-06-27T09:30:41,18b736ddf216,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.4,0.28,0.32,0.224,0.7,2.5,4.5,True,actual_x1.25,run_005/config.json
run_006,2026-06-27T09:31:01,836bc921cc94,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.48,0.336,0.32,0.224,0.7,2.5,4.5,True,actual_x1.50,run_006/config.json
run_007,2026-06-27T09:31:20,95d735819c93,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.56,0.392,0.32,0.224,0.7,2.5,4.5,True,actual_x1.75,run_007/config.json
run_008,2026-06-27T09:31:41,67b455c6f829,sandwich,sandwiched_bcbf,ovm,,,,ovm,ovm,0.64,0.448,0.32,0.224,0.7,2.5,4.5,True,actual_x2.00,run_008/config.json
